2019-04-07 15:54:25 968  [main] INFO  com.bootdo.WebApplication - Starting WebApplication on DESKTOP-VV39TFA with PID 13744 (D:\test-workspace\bootdo-parent\web\target\classes started by 15257 in D:\test-workspace\bootdo-parent\web) 
2019-04-07 15:54:25 977  [main] INFO  com.bootdo.WebApplication - The following profiles are active: dev 
2019-04-07 15:54:25 1042 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5b40ceb: startup date [Sun Apr 07 15:54:25 CST 2019]; root of context hierarchy 
2019-04-07 15:54:28 4542 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4553 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4556 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysUserDao' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4557 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysUserDao' of type [com.sun.proxy.$Proxy72] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4564 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysDeptDao' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4564 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysDeptDao' of type [com.sun.proxy.$Proxy74] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4565 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysDeptServiceImpl' of type [com.bootdo.service.impl.SysDeptServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4565 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysUserServiceImpl' of type [com.bootdo.service.impl.SysUserServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4571 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysRoleDao' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4571 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysRoleDao' of type [com.sun.proxy.$Proxy75] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4571 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysRoleServiceImpl' of type [com.bootdo.service.impl.SysRoleServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4577 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysMenuDao' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4578 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysMenuDao' of type [com.sun.proxy.$Proxy76] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4578 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysMenuServiceImpl' of type [com.bootdo.service.impl.SysMenuServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4579 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sysUserAuthRealm' of type [com.bootdo.shiro.SysUserAuthRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4590 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.bootdo.config.RedisConfig$$EnhancerBySpringCGLIB$$da32477c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4599 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jedisPoolConfig' of type [redis.clients.jedis.JedisPoolConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4637 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConnectionFactory' of type [org.springframework.data.redis.connection.jedis.JedisConnectionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4670 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisTemplate' of type [org.springframework.data.redis.core.RedisTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4674 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisManager' of type [com.bootdo.redis.shiro.RedisManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4677 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisCacheManager' of type [com.bootdo.redis.shiro.RedisCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4678 [main] INFO  c.b.redis.shiro.RedisCacheManager - *************get cache, name = authenticationCache ************** 
2019-04-07 15:54:28 4683 [main] INFO  c.b.redis.shiro.RedisCacheManager - *************get cache, name = authorizationCache ************** 
2019-04-07 15:54:28 4691 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionIdCookie' of type [org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4697 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionDAO' of type [com.bootdo.redis.shiro.RedisSessionDAO] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4701 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionFactory' of type [com.bootdo.redis.shiro.ShiroSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4714 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionManager' of type [com.bootdo.redis.shiro.ShiroSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4718 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeCookie' of type [org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4724 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeManager' of type [org.apache.shiro.web.mgt.CookieRememberMeManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4735 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4750 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'getMethodInvokingFactoryBean' of type [org.springframework.beans.factory.config.MethodInvokingFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:28 4766 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'advisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 15:54:29 5332 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) 
2019-04-07 15:54:29 5359 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
2019-04-07 15:54:29 5383 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
2019-04-07 15:54:29 5383 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31 
2019-04-07 15:54:29 5392 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\jdk8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;D:\jdk8\jre\bin;D:/jdk8/bin/../jre/bin/server;D:/jdk8/bin/../jre/bin;D:/jdk8/bin/../jre/lib/amd64;D:\jdk8\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;D:\apache-maven-3.6.0\bin;C:\WINDOWS\System32\OpenSSH\;D:\MySQL\MySQL Server 5.5\bin;D:\linux\nodejs\;D:\Git\cmd;C:\Users\15257\AppData\Local\Microsoft\WindowsApps;C:\Users\15257\AppData\Roaming\npm;C:\WINDOWS\System32;;.] 
2019-04-07 15:54:29 5705 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
2019-04-07 15:54:29 5705 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4663 ms 
2019-04-07 15:54:30 5992 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet statViewServlet mapped to [/druid/*] 
2019-04-07 15:54:30 5993 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/] 
2019-04-07 15:54:30 5998 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*] 
2019-04-07 15:54:30 5998 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
2019-04-07 15:54:30 5998 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*] 
2019-04-07 15:54:30 5998 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*] 
2019-04-07 15:54:30 5999 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*] 
2019-04-07 15:54:30 5999 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'shiroFilterFactoryBean' to: [/*] 
2019-04-07 15:54:30 5999 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'formAuthenticationFilter' to: [/*] 
2019-04-07 15:54:30 6332 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2019-04-07 15:54:30 6797 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5b40ceb: startup date [Sun Apr 07 15:54:25 CST 2019]; root of context hierarchy 
2019-04-07 15:54:30 6879 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sys/dept/index],methods=[GET]}" onto public java.lang.String com.bootdo.controller.DeptController.index() 
2019-04-07 15:54:30 6881 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sys/dept/list],methods=[GET]}" onto public com.bootdo.vo.ResponseVO com.bootdo.controller.DeptController.list() 
2019-04-07 15:54:30 6883 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/],methods=[GET]}" onto public java.lang.String com.bootdo.controller.HomePageController.mainContent(org.springframework.ui.Model) 
2019-04-07 15:54:30 6885 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public java.lang.String com.bootdo.controller.LoginController.handleError(org.springframework.ui.Model,javax.servlet.http.HttpServletRequest) 
2019-04-07 15:54:30 6885 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/captcha],methods=[GET]}" onto public void com.bootdo.controller.LoginController.captcha(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException 
2019-04-07 15:54:30 6885 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login/verify],methods=[POST]}" onto public com.bootdo.vo.ResponseVO com.bootdo.controller.LoginController.ajaxLogin(java.lang.String,java.lang.String,java.lang.String,java.lang.String) 
2019-04-07 15:54:30 6886 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login],methods=[GET]}" onto public java.lang.String com.bootdo.controller.LoginController.toLogin(org.springframework.ui.Model) 
2019-04-07 15:54:30 6886 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/noAuth],methods=[GET]}" onto public java.lang.String com.bootdo.controller.LoginController.noAuth() 
2019-04-07 15:54:30 6887 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sys/user/list],methods=[GET]}" onto public java.lang.String com.bootdo.controller.SysUserController.list(org.springframework.ui.Model) 
2019-04-07 15:54:30 6887 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sys/user/add],methods=[GET]}" onto public java.lang.String com.bootdo.controller.SysUserController.toAdd() 
2019-04-07 15:54:30 6887 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sys/user/edit/{id}],methods=[GET]}" onto public java.lang.String com.bootdo.controller.SysUserController.toEdit(java.lang.Long,org.springframework.ui.Model) 
2019-04-07 15:54:31 6954 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2019-04-07 15:54:31 6954 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2019-04-07 15:54:31 6954 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/upload] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2019-04-07 15:54:31 6990 [main] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in resultExceptionHandler 
2019-04-07 15:54:32 8298 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup 
2019-04-07 15:54:32 8299 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure 
2019-04-07 15:54:32 8306 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource] 
2019-04-07 15:54:32 8331 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
2019-04-07 15:54:32 8340 [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read 
2019-04-07 15:54:32 8369 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '' 
2019-04-07 15:54:32 8373 [main] INFO  com.bootdo.WebApplication - Started WebApplication in 8.204 seconds (JVM running for 10.33) 
2019-04-07 16:00:06 342472 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet' 
2019-04-07 16:00:06 342472 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started 
2019-04-07 16:00:06 342510 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 37 ms 
2019-04-07 16:00:06 342534 [http-nio-8080-exec-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - Enabling session validation scheduler... 
2019-04-07 16:00:06 342586 [http-nio-8080-exec-1] INFO  com.bootdo.config.BDSessionListener - 会话创建： 37ae799e-468a-4f18-88ac-f34a97336099 
2019-04-07 16:00:16 352141 [http-nio-8080-exec-10] INFO  com.bootdo.redis.shiro.RedisCache - get key [admin] 
2019-04-07 16:00:16 352412 [http-nio-8080-exec-10] INFO  com.bootdo.redis.shiro.RedisCache - put key [admin] 
2019-04-07 16:00:17 353791 [http-nio-8080-exec-1] INFO  com.bootdo.redis.shiro.RedisCache - get key [SysUserDO(id=1, username=admin, nickname=管理员, password=d0af8fa1272ef5a152d9e27763eea293, isAdmin=1, sysDeptId=1, headPic=/upload/picture/20181207/1f7767bff6dd4fe0ac4aa8720c6e5a47.png, sex=0, email=10086@163.com, mobile=10086, remark=超级管理员, createdDate=Thu Aug 09 23:00:03 CST 2018, updatedDate=Sat Dec 08 20:21:38 CST 2018, status=0, sysRoles=null, deptName=null)] 
2019-04-07 16:00:17 353798 [http-nio-8080-exec-1] INFO  com.bootdo.redis.shiro.RedisCache - put key [SysUserDO(id=1, username=admin, nickname=管理员, password=d0af8fa1272ef5a152d9e27763eea293, isAdmin=1, sysDeptId=1, headPic=/upload/picture/20181207/1f7767bff6dd4fe0ac4aa8720c6e5a47.png, sex=0, email=10086@163.com, mobile=10086, remark=超级管理员, createdDate=Thu Aug 09 23:00:03 CST 2018, updatedDate=Sat Dec 08 20:21:38 CST 2018, status=0, sysRoles=null, deptName=null)] 
2019-04-07 16:00:21 357506 [http-nio-8080-exec-5] INFO  com.bootdo.redis.shiro.RedisCache - get key [SysUserDO(id=1, username=admin, nickname=管理员, password=d0af8fa1272ef5a152d9e27763eea293, isAdmin=1, sysDeptId=1, headPic=/upload/picture/20181207/1f7767bff6dd4fe0ac4aa8720c6e5a47.png, sex=0, email=10086@163.com, mobile=10086, remark=超级管理员, createdDate=Thu Aug 09 23:00:03 CST 2018, updatedDate=Sat Dec 08 20:21:38 CST 2018, status=0, sysRoles=null, deptName=null)] 
2019-04-07 16:01:32 428392 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested. 
2019-04-07 16:01:32 428392 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5b40ceb: startup date [Sun Apr 07 15:54:25 CST 2019]; root of context hierarchy 
2019-04-07 16:01:32 428405 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown 
2019-04-07 16:01:32 428406 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans 
2019-04-07 16:01:32 428412 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - Disabled session validation scheduler. 
2019-04-07 16:01:32 428421 [RMI TCP Connection(2)-127.0.0.1] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1} closed 
2019-04-07 16:28:18 648  [main] INFO  com.bootdo.WebApplication - Starting WebApplication on DESKTOP-VV39TFA with PID 6664 (D:\test-workspace\bootdo-parent\web\target\classes started by 15257 in D:\test-workspace\bootdo-parent\web) 
2019-04-07 16:28:18 654  [main] INFO  com.bootdo.WebApplication - The following profiles are active: dev 
2019-04-07 16:28:18 717  [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5b40ceb: startup date [Sun Apr 07 16:28:18 CST 2019]; root of context hierarchy 
2019-04-07 16:28:19 1680 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode! 
2019-04-07 16:28:20 2460 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$297a670] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 16:28:20 2617 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.context.properties.ConversionServiceDeducer$Factory' of type [org.springframework.boot.context.properties.ConversionServiceDeducer$Factory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 16:28:20 2630 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'projectProperties' of type [com.bootdo.config.properties.ProjectProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-04-07 16:28:20 2632 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.bootdo.config.ShiroConfig$$EnhancerBySpringCGLIB$$d858c60] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
